zone,grouping,group,model,n,mae,rmse,bias
FR,hour,2,chronos,365,10.696820418475426,14.72725918438395,-0.023435689220690042
FR,hour,2,residual,365,10.268434048546034,14.29495028078664,-0.13485309452531127
FR,hour,3,nyx,365,10.896266201570201,15.498365469110924,-0.07182962045077569
FR,hour,3,storm,365,10.175560161643835,13.901385556585451,0.18116624931506814
FR,hour,3,chronos,365,11.671264284525833,16.533908897386027,0.8935006632347632
FR,hour,3,residual,365,10.924994920390933,15.732038170759958,0.6789194289307755
FR,hour,4,nyx,365,10.83603572236667,15.49247130501051,0.20149031263387213
FR,hour,4,storm,365,10.825531057534246,14.975186924500779,-0.9935848657534245
FR,hour,4,chronos,365,11.597059043988791,16.701565716332027,0.8088416635173638
FR,hour,4,residual,365,10.821047165550834,15.766836021407345,0.8137462411192948
FR,hour,5,nyx,365,11.019970284504799,15.555636958795022,0.7311890397425044
FR,hour,5,storm,365,10.782659257534247,15.143490066457789,-3.1486699808219183
FR,hour,5,chronos,365,11.797594932033592,16.4150010659042,0.6303765678928325
FR,hour,5,residual,365,11.208558163617786,15.839709979406866,0.8267032124953779
FR,hour,6,nyx,365,11.943449425376128,16.141372525920886,0.36876630441779484
FR,hour,6,storm,365,12.040829989041097,17.053673937200173,-5.894139391780823
FR,hour,6,chronos,365,12.416102790937032,16.75340239682247,-0.4714610313520043
FR,hour,6,residual,365,12.295279008158914,16.39208537387938,-0.2771188927997349
FR,hour,7,nyx,365,12.45311357089076,17.41118138770537,0.05226229249219929
FR,hour,7,storm,365,12.443473320547948,17.78128474581239,-7.067000547945204
FR,hour,7,chronos,365,12.984616995824526,18.019034898873926,-1.0872804584241893
FR,hour,7,residual,365,12.67690962020746,17.621515561662083,-0.6498061710736344
FR,hour,8,nyx,365,13.324301618004451,18.61556364043997,-1.2948872704029561
FR,hour,8,storm,365,13.699360142465753,19.102974152496923,-7.610645473972603
FR,hour,8,chronos,365,13.9456414420768,19.265137233550494,-2.154799830397514
FR,hour,8,residual,365,13.502447119523048,18.802048117977325,-1.5400041344027295
FR,hour,9,nyx,365,11.899119944473066,16.114740784369612,-0.5430112688065282
FR,hour,9,storm,365,11.830727953424658,16.451817157966847,-4.331865915068493
FR,hour,9,chronos,365,13.224112410244878,17.52286438342983,-0.8376804427055463
FR,hour,9,residual,365,12.024969717304097,16.291397296893294,-0.9918267728570879
FR,hour,10,nyx,365,11.84956898302022,15.991313892832098,0.6027315663673348
FR,hour,10,storm,365,10.777840175342467,14.974407006983775,-0.4201200712328768
FR,hour,10,chronos,365,13.29046377270842,17.612334817925873,1.2537952600766538
FR,hour,10,residual,365,12.00793138231,16.170434822060322,0.04858030133439287
FR,hour,11,nyx,365,11.687139976768357,16.794316027785158,0.1270248898323713
FR,hour,11,storm,365,10.62809866849315,15.592452166302218,1.3380463999999999
FR,hour,11,chronos,365,13.303549361973593,18.686591298994983,1.8279260634330856
FR,hour,11,residual,365,11.897485050110484,17.25330052462068,-0.3495339934988675
FR,hour,12,nyx,365,12.534677568001907,23.349822041033573,-1.3426706310888707
FR,hour,12,storm,365,10.79106178630137,20.768922741184806,0.6103449041095887
FR,hour,12,chronos,365,13.911340762203686,25.672621127355225,1.454019197646885
FR,hour,12,residual,365,12.817257221864237,23.79684019879005,-1.464933352930464
FR,hour,13,nyx,365,12.935632113940251,33.18343221278084,1.9041850273104044
FR,hour,13,storm,365,13.11894161917808,31.177435315590714,5.533185750684932
FR,hour,13,chronos,365,14.912387263467867,35.90195222605302,5.6934751958977685
FR,hour,13,residual,365,13.148998658659723,33.6695045996853,1.9948731886990663
